;dataset;model;metric;value;run
0;cub;labo;leakage;0.017175366305730563;0
1;cub;labo;leakage;0.017175366305730563;1
2;cub;labo;leakage;0.017175366305730563;2
3;cub;labo;leakage;0.017175366305730563;3
4;cub;labo;leakage;0.017175366305730563;4
5;cub;labo;label_f1;0.0011612783479494197;0
6;cub;labo;label_f1;0.000861422586654537;1
7;cub;labo;label_f1;0.0009793075769079485;2
8;cub;labo;label_f1;0.0011254914661575504;3
9;cub;labo;label_f1;0.001128255605625942;4
10;cub;labo;avg_concept_auc;0.36257497679836986;0
11;cub;labo;avg_concept_auc;0.36558625164129754;1
12;cub;labo;avg_concept_auc;0.3673904855552326;2
13;cub;labo;avg_concept_auc;0.3603384274314581;3
14;cub;labo;avg_concept_auc;0.3659652270327599;4
15;cub;labo;ois;0.1467171460390091;0
16;cub;labo;ois;0.1467171460390091;1
17;cub;labo;ois;0.1467171460390091;2
18;cub;labo;ois;0.1467171460390091;3
19;cub;labo;ois;0.1467171460390091;4
20;cub;labo;disentanglement;0.20309237995865193;0
21;cub;labo;disentanglement;0.20309237995865193;1
22;cub;labo;disentanglement;0.20309237995865193;2
23;cub;labo;disentanglement;0.20309237995865193;3
24;cub;labo;disentanglement;0.20309237995865193;4
25;cub;lfcbm;leakage;0.1091460931112015;0
26;cub;lfcbm;leakage;0.10733057521171073;1
27;cub;lfcbm;leakage;0.11592890660128229;2
28;cub;lfcbm;leakage;0.10612819357595644;3
29;cub;lfcbm;leakage;0.1158565582743652;4
30;cub;lfcbm;label_f1;0.672095267240069;0
31;cub;lfcbm;label_f1;0.6771265339359362;1
32;cub;lfcbm;label_f1;0.6775408690713419;2
33;cub;lfcbm;label_f1;0.671085372656255;3
34;cub;lfcbm;label_f1;0.6730497607278696;4
35;cub;lfcbm;avg_concept_auc;0.25354144701627174;0
36;cub;lfcbm;avg_concept_auc;0.25913868231321285;1
37;cub;lfcbm;avg_concept_auc;0.2550940185987822;2
38;cub;lfcbm;avg_concept_auc;0.25498228756738794;3
39;cub;lfcbm;avg_concept_auc;0.2528573489991924;4
40;cub;lfcbm;ois;0.16251350939273834;0
41;cub;lfcbm;ois;0.16375017166137695;1
42;cub;lfcbm;ois;0.16269102692604065;2
43;cub;lfcbm;ois;0.16314353048801422;3
44;cub;lfcbm;ois;0.16313709318637848;4
45;cub;lfcbm;disentanglement;0.1870157552900503;0
46;cub;lfcbm;disentanglement;0.1914816489078598;1
47;cub;lfcbm;disentanglement;0.18387781946608028;2
48;cub;lfcbm;disentanglement;0.18709148113120444;3
49;cub;lfcbm;disentanglement;0.1850726023901793;4
50;cub;oracle;leakage;0.0705072143893155;0
51;cub;oracle;leakage;0.06415802901545856;1
52;cub;oracle;leakage;0.08761497162556373;2
53;cub;oracle;leakage;0.0778003292000286;3
54;cub;oracle;leakage;0.0977318859526877;4
55;cub;oracle;label_f1;0.6241835382684977;0
56;cub;oracle;label_f1;0.6227281234263297;1
57;cub;oracle;label_f1;0.6219572867891734;2
58;cub;oracle;label_f1;0.6212206699500454;3
59;cub;oracle;label_f1;0.6314429572029282;4
60;cub;oracle;avg_concept_auc;0.4129392582957404;0
61;cub;oracle;avg_concept_auc;0.4247613483385435;1
62;cub;oracle;avg_concept_auc;0.37614809671964594;2
63;cub;oracle;avg_concept_auc;0.3974493484614718;3
64;cub;oracle;avg_concept_auc;0.3419796724079126;4
65;cub;oracle;ois;0.14441895484924316;0
66;cub;oracle;ois;0.1440654993057251;1
67;cub;oracle;ois;0.14874204993247986;2
68;cub;oracle;ois;0.1466023176908493;3
69;cub;oracle;ois;0.15203224122524261;4
70;cub;oracle;disentanglement;0.2525149213124224;0
71;cub;oracle;disentanglement;0.2624323511190241;1
72;cub;oracle;disentanglement;0.22856212272251258;2
73;cub;oracle;disentanglement;0.24396129032315023;3
74;cub;oracle;disentanglement;0.21001631352420205;4
75;cub;vlgcbm;leakage;0.05841754727021305;0
76;cub;vlgcbm;leakage;0.05777985430265947;1
77;cub;vlgcbm;leakage;0.058202237381767295;2
78;cub;vlgcbm;leakage;0.05924716532187278;3
79;cub;vlgcbm;leakage;0.05963028521908206;4
80;cub;vlgcbm;label_f1;0.5995430984469643;0
