;dataset;model;metric;value;run
0;celeba;labo;leakage;0.47811521715864996;0
1;celeba;labo;leakage;0.47811521715864996;1
2;celeba;labo;leakage;0.47811521715864996;2
3;celeba;labo;leakage;0.47811521715864996;3
4;celeba;labo;leakage;0.47811521715864996;4
5;celeba;labo;label_f1;0.9734937642019409;0
6;celeba;labo;label_f1;0.9733375476145765;1
7;celeba;labo;label_f1;0.9732854800117651;2
8;celeba;labo;label_f1;0.9733375476145765;3
9;celeba;labo;label_f1;0.9733387949608705;4
10;celeba;labo;avg_concept_auc;0.38139414920951176;0
11;celeba;labo;avg_concept_auc;0.38209062728742677;1
12;celeba;labo;avg_concept_auc;0.3799232464597563;2
13;celeba;labo;avg_concept_auc;0.38773230147851573;3
14;celeba;labo;avg_concept_auc;0.3817151008927357;4
15;celeba;labo;ois;0.163687065243721;0
16;celeba;labo;ois;0.163687065243721;1
17;celeba;labo;ois;0.163687065243721;2
18;celeba;labo;ois;0.163687065243721;3
19;celeba;labo;ois;0.163687065243721;4
20;celeba;labo;disentanglement;0.2804863482728319;0
21;celeba;labo;disentanglement;0.2804863482728319;1
22;celeba;labo;disentanglement;0.2804863482728319;2
23;celeba;labo;disentanglement;0.2804863482728319;3
24;celeba;labo;disentanglement;0.2804863482728319;4
25;celeba;lfcbm;leakage;0.5809340219324168;0
26;celeba;lfcbm;leakage;0.6049358466772389;1
27;celeba;lfcbm;leakage;0.5908047502918655;2
28;celeba;lfcbm;leakage;0.5998337072309886;3
29;celeba;lfcbm;label_f1;0.9872415931676131;0
30;celeba;lfcbm;label_f1;0.9875598403258925;1
31;celeba;lfcbm;label_f1;0.9874007206843904;2
32;celeba;lfcbm;label_f1;0.9876608628036521;3
33;celeba;lfcbm;avg_concept_auc;0.4138698604087169;0
34;celeba;lfcbm;avg_concept_auc;0.4120358003236764;1
35;celeba;lfcbm;avg_concept_auc;0.4188810134739875;2
36;celeba;lfcbm;avg_concept_auc;0.42121032153766125;3
37;celeba;lfcbm;ois;0.16034035384655;0
38;celeba;lfcbm;ois;0.16114306449890137;1
39;celeba;lfcbm;ois;0.15911395847797394;2
40;celeba;lfcbm;ois;0.15977194905281067;3
41;celeba;lfcbm;disentanglement;0.2913374807935228;0
42;celeba;lfcbm;disentanglement;0.295218583697467;1
43;celeba;lfcbm;disentanglement;0.2948982846950661;2
44;celeba;lfcbm;disentanglement;0.29467424462841707;3
45;celeba;oracle;leakage;0.6450602530339992;0
