;dataset;model;metric;value
0;celeba;labo;label_f1;0.9733586268807459
1;celeba;labo;avg_concept_auc;0.38257108506558923
2;celeba;labo;ois;0.163687065243721
3;celeba;labo;disentanglement;0.2804863482728319
4;celeba;labo;leakage;0.4781152171586499
5;celeba;lfcbm;label_f1;0.9874657542453871
6;celeba;lfcbm;avg_concept_auc;0.41649924893601054
7;celeba;lfcbm;ois;0.160092331469059
8;celeba;lfcbm;disentanglement;0.29403214845361825
9;celeba;lfcbm;leakage;0.5941270815331274
10;celeba;oracle;label_f1;0.6812482285195655
11;celeba;oracle;avg_concept_auc;0.5085082050777286
12;celeba;oracle;ois;0.15197663903236389
13;celeba;oracle;disentanglement;0.3738694223499006
14;celeba;oracle;leakage;0.6565752691413236
15;celeba;vlgcbm;label_f1;0.9835566187879072
16;celeba;vlgcbm;avg_concept_auc;0.31944384583688057
17;celeba;vlgcbm;ois;0.1982956826686859
18;celeba;vlgcbm;disentanglement;0.21503337395298033
19;celeba;vlgcbm;leakage;0.943819592222194
20;celeba;resnetcbm;label_f1;0.9566461424252047
21;celeba;resnetcbm;avg_concept_auc;0.7448455506236866
22;celeba;resnetcbm;ois;0.1251183733344078
23;celeba;resnetcbm;disentanglement;0.7459488887764726
24;celeba;resnetcbm;leakage;0.5072556270770757
25;shapes3d;labo;label_f1;0.7567145667307213
26;shapes3d;labo;avg_concept_auc;0.3137246845297397
27;shapes3d;labo;ois;0.15156018733978271
28;shapes3d;labo;disentanglement;0.28117010759635197
29;shapes3d;labo;leakage;0.8785536304890188
30;shapes3d;lfcbm;label_f1;0.961150789881815
31;shapes3d;lfcbm;avg_concept_auc;0.305193090592758
32;shapes3d;lfcbm;ois;0.15209631323814393
33;shapes3d;lfcbm;disentanglement;0.2792676830972927
34;shapes3d;lfcbm;leakage;0.7222846876231303
35;shapes3d;oracle;label_f1;0.6817855143919023
36;shapes3d;oracle;avg_concept_auc;0.5210004633534512
37;shapes3d;oracle;ois;0.13137219250202178
38;shapes3d;oracle;disentanglement;0.5118884895288154
39;shapes3d;oracle;leakage;0.6673132500530448
40;shapes3d;vlgcbm;label_f1;0.5223840163915784
41;shapes3d;vlgcbm;avg_concept_auc;0.23558230880015169
42;shapes3d;vlgcbm;ois;0.15188734233379364
43;shapes3d;vlgcbm;disentanglement;0.2410666289207672
44;shapes3d;vlgcbm;leakage;0.13512934730488282
45;shapes3d;resnetcbm;label_f1;0.9996790553825043
46;shapes3d;resnetcbm;avg_concept_auc;0.9999749056683027
47;shapes3d;resnetcbm;ois;0.0724531963467598
48;shapes3d;resnetcbm;disentanglement;0.9987880419340808
49;shapes3d;resnetcbm;leakage;0.32396703595060367
50;cub;labo;label_f1;0.0010511511166590797
51;cub;labo;avg_concept_auc;0.36437107369182364
52;cub;labo;ois;0.1467171460390091
53;cub;labo;disentanglement;0.20309237995865193
54;cub;labo;leakage;0.017175366305730563
55;cub;lfcbm;label_f1;0.6741795607262944
56;cub;lfcbm;avg_concept_auc;0.25512275689896946
57;cub;lfcbm;ois;0.16304706633090973
58;cub;lfcbm;disentanglement;0.18690786143707483
59;cub;lfcbm;leakage;0.11087806535490323
60;cub;oracle;label_f1;0.6243065151273949
61;cub;oracle;avg_concept_auc;0.3906555448446628
62;cub;oracle;ois;0.147172212600708
63;cub;oracle;disentanglement;0.23949739980026225
64;cub;oracle;leakage;0.0795624860366108
65;cub;vlgcbm;label_f1;0.5989353980054224
66;cub;vlgcbm;avg_concept_auc;0.7905456106691849
67;cub;vlgcbm;ois;0.099679134786129
68;cub;vlgcbm;disentanglement;0.6098308935129902
69;cub;vlgcbm;leakage;0.05865541789911892
70;cub;resnetcbm;label_f1;0.6866522210946359
71;cub;resnetcbm;avg_concept_auc;0.8997562759771677
72;cub;resnetcbm;ois;0.09225822687149048
73;cub;resnetcbm;disentanglement;0.7493084738695576
74;cub;resnetcbm;leakage;0.24012618100043448
