;dataset;model;metric;value;run
0;celeba;labo;leakage;0.47811521715864996;0
1;celeba;labo;leakage;0.47811521715864996;1
2;celeba;labo;leakage;0.47811521715864996;2
3;celeba;labo;leakage;0.47811521715864996;3
4;celeba;labo;leakage;0.47811521715864996;4
5;celeba;labo;leakage;0.47811521715864996;5
6;celeba;labo;leakage;0.47811521715864996;6
7;celeba;labo;leakage;0.47811521715864996;7
8;celeba;labo;leakage;0.47811521715864996;8
9;celeba;labo;leakage;0.47811521715864996;9
10;celeba;labo;label_f1;0.9740667355650006;0
11;celeba;labo;label_f1;0.9740667355650006;1
12;celeba;labo;label_f1;0.9740667355650006;2
13;celeba;labo;label_f1;0.9740667355650006;3
14;celeba;labo;label_f1;0.9740667355650006;4
15;celeba;labo;label_f1;0.9740667355650006;5
16;celeba;labo;label_f1;0.9740667355650006;6
17;celeba;labo;label_f1;0.9740667355650006;7
18;celeba;labo;label_f1;0.9740667355650006;8
19;celeba;labo;label_f1;0.9740667355650006;9
20;celeba;labo;avg_concept_auc;0.3821464095678273;0
21;celeba;labo;avg_concept_auc;0.3807373233891193;1
22;celeba;labo;avg_concept_auc;0.3815655722323522;2
23;celeba;labo;avg_concept_auc;0.385029552883134;3
24;celeba;labo;avg_concept_auc;0.38158865743266945;4
25;celeba;labo;avg_concept_auc;0.38182277079502797;5
26;celeba;labo;avg_concept_auc;0.3814375943998726;6
27;celeba;labo;avg_concept_auc;0.38246104118357555;7
28;celeba;labo;avg_concept_auc;0.3776315777907964;8
29;celeba;labo;avg_concept_auc;0.3796001673983064;9
30;celeba;labo;ois;0.163687065243721;0
31;celeba;labo;ois;0.163687065243721;1
32;celeba;labo;ois;0.163687065243721;2
33;celeba;labo;ois;0.163687065243721;3
34;celeba;labo;ois;0.163687065243721;4
35;celeba;labo;ois;0.163687065243721;5
36;celeba;labo;ois;0.163687065243721;6
37;celeba;labo;ois;0.163687065243721;7
38;celeba;labo;ois;0.163687065243721;8
39;celeba;labo;ois;0.163687065243721;9
40;celeba;labo;disentanglement;0.2804863482728319;0
41;celeba;labo;disentanglement;0.2804863482728319;1
42;celeba;labo;disentanglement;0.2804863482728319;2
43;celeba;labo;disentanglement;0.2804863482728319;3
44;celeba;labo;disentanglement;0.2804863482728319;4
45;celeba;labo;disentanglement;0.2804863482728319;5
46;celeba;labo;disentanglement;0.2804863482728319;6
47;celeba;labo;disentanglement;0.2804863482728319;7
48;celeba;labo;disentanglement;0.2804863482728319;8
