;dataset;model;metric;value
0;celeba;labo;label_f1;0.9740667355650006
1;celeba;labo;avg_concept_auc;0.3814020667072681
2;celeba;labo;ois;0.163687065243721
3;celeba;labo;disentanglement;0.2804863482728319
4;celeba;labo;leakage;0.4781152171586499
5;celeba;lfcbm;label_f1;0.987361881109487
6;celeba;lfcbm;avg_concept_auc;0.41428209794783966
7;celeba;lfcbm;ois;0.16003351509571076
8;celeba;lfcbm;disentanglement;0.29372270386304017
9;celeba;lfcbm;leakage;0.5938692962663312
10;celeba;oracle;label_f1;0.970200698387713
11;celeba;oracle;avg_concept_auc;0.5194460347838243
12;celeba;oracle;ois;0.15505489259958266
13;celeba;oracle;disentanglement;0.38364701197304624
14;celeba;oracle;leakage;0.7555391606434714
15;celeba;vlgcbm;label_f1;0.9839976383612704
16;celeba;vlgcbm;avg_concept_auc;0.3058176448813346
17;celeba;vlgcbm;ois;0.18535949736833573
18;celeba;vlgcbm;disentanglement;0.1693296832965247
19;celeba;vlgcbm;leakage;0.9043246012725321
20;celeba;resnetcbm;label_f1;0.9516423427599807
21;celeba;resnetcbm;avg_concept_auc;0.7425862031139292
22;celeba;resnetcbm;ois;0.12634795159101486
23;celeba;resnetcbm;disentanglement;0.7468864627225524
24;celeba;resnetcbm;leakage;0.5055752235074774
25;shapes3d;labo;label_f1;0.7644400514912842
26;shapes3d;labo;avg_concept_auc;0.31331066691837095
27;shapes3d;labo;ois;0.15156018733978271
28;shapes3d;labo;disentanglement;0.28117010759635197
29;shapes3d;labo;leakage;0.8785536304890188
30;shapes3d;lfcbm;label_f1;0.9608168387687746
31;shapes3d;lfcbm;avg_concept_auc;0.3054199620550081
32;shapes3d;lfcbm;ois;0.15201160460710525
33;shapes3d;lfcbm;disentanglement;0.27990129395069124
34;shapes3d;lfcbm;leakage;0.7205276954834203
35;shapes3d;oracle;label_f1;0.5437824074661334
36;shapes3d;oracle;avg_concept_auc;0.1649994483724948
37;shapes3d;oracle;ois;0.15611805021762848
38;shapes3d;oracle;disentanglement;0.20333163758476624
39;shapes3d;oracle;leakage;0.26330596881923807
40;shapes3d;vlgcbm;label_f1;0.41322653484258814
41;shapes3d;vlgcbm;avg_concept_auc;0.23478198187994415
42;shapes3d;vlgcbm;ois;0.151248537003994
43;shapes3d;vlgcbm;disentanglement;0.24439424015373742
44;shapes3d;vlgcbm;leakage;0.31443540889700683
45;shapes3d;resnetcbm;label_f1;0.9995505526097517
46;shapes3d;resnetcbm;avg_concept_auc;0.9999884988985679
47;shapes3d;resnetcbm;ois;0.07631263807415962
48;shapes3d;resnetcbm;disentanglement;0.9987093880209276
49;shapes3d;resnetcbm;leakage;0.22593961169249344
