;dataset;model;metric;value
0;cub;labo;label_f1;0.0010511511166590797
1;cub;labo;avg_concept_auc;0.36437107369182364
2;cub;labo;ois;0.1467171460390091
3;cub;labo;disentanglement;0.20309237995865193
4;cub;labo;leakage;0.017175366305730563
5;cub;lfcbm;label_f1;0.6741795607262944
6;cub;lfcbm;avg_concept_auc;0.25512275689896946
7;cub;lfcbm;ois;0.16304706633090973
8;cub;lfcbm;disentanglement;0.18690786143707483
9;cub;lfcbm;leakage;0.11087806535490323
10;cub;oracle;label_f1;0.6243065151273949
11;cub;oracle;avg_concept_auc;0.3906555448446628
12;cub;oracle;ois;0.147172212600708
13;cub;oracle;disentanglement;0.23949739980026225
14;cub;oracle;leakage;0.0795624860366108
15;cub;vlgcbm;label_f1;0.5989353980054224
16;cub;vlgcbm;avg_concept_auc;0.7905456106691849
17;cub;vlgcbm;ois;0.099679134786129
18;cub;vlgcbm;disentanglement;0.6098308935129902
19;cub;vlgcbm;leakage;0.05865541789911892
20;cub;resnetcbm;label_f1;0.6866522210946359
21;cub;resnetcbm;avg_concept_auc;0.8997562759771677
22;cub;resnetcbm;ois;0.09225822687149048
23;cub;resnetcbm;disentanglement;0.7493084738695576
24;cub;resnetcbm;leakage;0.24012618100043448
25;celeba;labo;label_f1;0.9733586268807459
26;celeba;labo;avg_concept_auc;0.38257108506558923
27;celeba;labo;ois;0.163687065243721
28;celeba;labo;disentanglement;0.2804863482728319
29;celeba;labo;leakage;0.4781152171586499
30;celeba;lfcbm;label_f1;0.9874657542453871
31;celeba;lfcbm;avg_concept_auc;0.41649924893601054
32;celeba;lfcbm;ois;0.160092331469059
33;celeba;lfcbm;disentanglement;0.29403214845361825
34;celeba;lfcbm;leakage;0.5941270815331274
35;celeba;oracle;label_f1;0.6812482285195655
36;celeba;oracle;avg_concept_auc;0.5085082050777286
37;celeba;oracle;ois;0.15197663903236389
38;celeba;oracle;disentanglement;0.3738694223499006
39;celeba;oracle;leakage;0.6565752691413236
40;celeba;vlgcbm;label_f1;0.9835566187879072
41;celeba;vlgcbm;avg_concept_auc;0.31944384583688057
42;celeba;vlgcbm;ois;0.1982956826686859
43;celeba;vlgcbm;disentanglement;0.21503337395298033
44;celeba;vlgcbm;leakage;0.943819592222194
45;celeba;resnetcbm;label_f1;0.9566461424252047
46;celeba;resnetcbm;avg_concept_auc;0.7448455506236866
47;celeba;resnetcbm;ois;0.1251183733344078
48;celeba;resnetcbm;disentanglement;0.7459488887764726
49;celeba;resnetcbm;leakage;0.5072556270770757
50;shapes3d;labo;label_f1;0.7567145667307213
51;shapes3d;labo;avg_concept_auc;0.3137246845297397
52;shapes3d;labo;ois;0.15156018733978271
53;shapes3d;labo;disentanglement;0.28117010759635197
54;shapes3d;labo;leakage;0.8785536304890188
55;shapes3d;lfcbm;label_f1;0.9610075757844883
56;shapes3d;lfcbm;avg_concept_auc;0.30518616065537124
57;shapes3d;lfcbm;ois;0.15175788402557372
58;shapes3d;lfcbm;disentanglement;0.2796058478357188
59;shapes3d;lfcbm;leakage;0.7216251848310511
60;shapes3d;oracle;label_f1;0.6818292202169283
61;shapes3d;oracle;avg_concept_auc;0.5210130205145482
62;shapes3d;oracle;ois;0.1312987446784973
63;shapes3d;oracle;disentanglement;0.5119407992776555
64;shapes3d;oracle;leakage;0.6675116926689274
65;shapes3d;vlgcbm;label_f1;0.5213402992022464
66;shapes3d;vlgcbm;avg_concept_auc;0.2355684817166357
67;shapes3d;vlgcbm;ois;0.1526455134153366
68;shapes3d;vlgcbm;disentanglement;0.24231833947198914
69;shapes3d;vlgcbm;leakage;0.13534364581780517
70;shapes3d;resnetcbm;label_f1;0.9996790553825043
71;shapes3d;resnetcbm;avg_concept_auc;0.9999749714821137
72;shapes3d;resnetcbm;ois;0.07235820293426513
73;shapes3d;resnetcbm;disentanglement;0.9987848615618621
74;shapes3d;resnetcbm;leakage;0.323865006076138
